都道府県,年度,排出量合計,CO2排出原単位要因,エネルギー消費効率要因,一人当たり総生産要因,人口要因,CO2排出原単位要因_変化率,エネルギー消費効率要因_変化率,一人当たり総生産要因_変化率,人口要因_変化率,排出量増減,CO2排出原単位要因_増減,エネルギー消費効率要因_増減,一人当たり総生産要因_増減,人口要因_増減,排出量増減率
福井県,2012,9304.0,3.084434558550772e-07,9206.480659846817,4.0980745562248595,799504,0.024930386330374074,0.01451806903494411,-0.027966443538427584,-0.004604072201015436,56.20000000000073,203.70747461871815,118.62789209349167,-228.51525490959247,-37.62011180261662,0.0060771210450053775
福井県,2013,9214.8,2.9531130603410614e-07,9461.590388730034,4.145349144139955,795574,-0.018706588725696475,0.04263016084299183,-0.016753254224542453,-0.009496988304311992,-33.0,-265.32224971835285,604.6388439160336,-237.61740668693767,-134.69918751074312,-0.0035684162719782004
福井県,2014,9147.4,3.100195861803759e-07,9095.88504534409,4.101819970486965,790837,0.030167728321427445,0.00233086597499588,-0.0270780584454608,-0.015394632981491579,-100.39999999999964,303.67058630304774,23.462669435340906,-272.56974063376197,-154.96351510462628,-0.010856636172927576
福井県,2015,8361.7,3.061014686524013e-07,8048.916476344075,4.31380506901899,786740,0.017148169516063672,-0.11304096504342143,0.023203269142868833,-0.020495466893757735,-886.0999999999985,163.06266141815726,-1074.9112663010565,220.64085711852184,-194.89225223562104,-0.0958173835939357
福井県,2016,8194.9,3.0622163726231425e-07,8099.947513686173,4.217626025559358,783353,0.017547479202960528,-0.10741754482694787,0.00039029773678975747,-0.024712338863698047,-1052.8999999999996,161.7952534416502,-990.4356453902301,3.598711844089104,-227.85831989550877,-0.11385410584138927
福井県,2017,7795.8,2.961291373205716e-07,7604.41230439449,4.435608691084182,780478,-0.01598900752733261,-0.16202358183976984,0.052094204708227926,-0.028291762221707616,-1451.999999999999,-150.54806314181818,-1525.569137895484,490.50459237887827,-266.3873913415752,-0.15701031596704074
福井県,2018,7663.1,2.8207231731641935e-07,7382.994721565406,4.737530432812204,776711,-0.06269858000794185,-0.18642293126347081,0.12370785164375692,-0.03298174058331528,-1584.699999999999,-627.2810927984476,-1865.1073123319136,1237.6611457072036,-329.9727405768412,-0.17135967473345
福井県,2019,7174.1,2.734944504178804e-07,7110.426550442729,4.782405900997543,771395,-0.09120207478897828,-0.2164588749497268,0.13435198716145136,-0.039600249999377495,-2073.699999999999,-888.2929028814721,-2108.273115808405,1308.5658079564055,-385.699789266528,-0.22423711585458153
福井県,2020,6420.2,2.693241670747996e-07,6736.556460945594,4.6144239583863085,766863,-0.10505955834648073,-0.25765789282425805,0.09450788894959766,-0.04524266622842075,-2827.5999999999995,-947.724661744781,-2324.2886527032765,852.5398211896355,-408.1265067415771,-0.30575920759531994
山梨県,2011,6257.4,2.7425372659192386e-07,6924.8138765392005,3.8425982186695653,857449,0.0,0.0,0.0,0.0,0.0,,,,,0.0
